ST	arcC	aroE	glpF	gmk	pta	tpi	yqiL
113	3	3	1	1	4	62	3
114	41	4	1	4	12	1	10
115	3	1	1	1	1	5	53
116	3	1	1	1	1	59	3
117	3	1	1	1	1	59	4
118	3	1	1	1	1	60	3
119	3	1	1	1	5	60	4
120	6	5	6	2	7	14	2
121	6	5	6	2	7	14	5
122	27	14	8	6	10	3	2
123	6	5	6	2	7	17	19
124	3	1	1	37	1	5	3
125	1	4	1	4	12	1	54
126	3	68	1	4	1	5	40
127	4	1	4	1	1	5	3
128	2	3	1	40	4	4	3
129	22	1	14	41	12	53	31
130	6	57	45	2	7	58	52
131	40	66	46	2	7	50	18
132	6	67	46	2	7	50	18
133	6	66	46	2	7	50	18
134	7	6	1	16	8	8	6
135	39	69	1	4	12	1	10
136	38	55	45	18	38	14	2
137	7	6	47	5	8	8	6
138	14	16	11	2	47	12	14
139	6	66	46	2	45	50	18
140	43	37	48	19	49	26	39
141	42	3	1	1	4	4	3
142	1	70	1	4	12	1	10
143	1	65	1	4	12	63	10
144	3	3	1	39	1	1	10
145	8	7	6	2	9	9	21
146	1	43	1	4	12	1	10
147	1	1	1	36	1	1	1
148	1	4	1	4	12	1	2
149	1	4	1	4	12	41	10
150	22	1	14	45	12	53	31
151	6	72	12	43	49	67	59
152	46	75	49	44	13	68	60
153	1	76	1	14	11	51	10
154	12	1	1	15	51	1	40
155	3	77	1	1	4	4	3
156	19	3	15	2	19	20	42
157	2	3	26	1	4	39	3
158	2	3	1	1	4	4	2
159	1	87	1	1	22	1	1
160	158	1	6	2	7	14	5
161	2	3	1	1	4	93	3
162	3	92	1	1	4	4	3
163	19	23	15	2	19	20	177
164	3	3	1	1	1	264	10
165	3	1	14	15	385	19	3
166	1	4	61	8	4	4	3
167	10	319	8	6	10	3	2
168	1	1	1	9	63	1	1
169	13	13	1	1	16	11	13
170	10	14	64	6	14	3	2
171	13	13	56	1	12	10	13
172	4	23	4	1	382	5	417
173	3	3	1	1	4	4	6
174	2	3	378	1	4	4	3
175	7	6	84	5	8	8	6
176	2	3	1	71	4	4	3
177	6	79	397	47	7	70	61
178	13	25	1	1	12	11	13
179	1	4	68	4	12	1	10
180	1	4	1	4	330	1	10
181	3	35	439	2	20	26	39
182	18	18	6	2	13	15	18
183	3	484	19	2	20	26	39
184	3	35	19	2	386	26	39
185	3	485	19	2	20	26	39
186	151	187	20	101	198	150	131
187	3	3	1	68	4	4	3
188	3	1	1	8	1	1	1
189	28	2	2	2	6	3	2
190	27	14	1	1	11	3	37
191	3	35	440	2	20	26	39
192	1	4	27	4	10	1	10
193	6	5	6	2	7	14	36
194	1	43	1	4	12	1	11
195	3	2	1	1	4	4	3
196	29	2	2	2	6	3	2
197	1	2	1	8	23	5	11
198	10	14	8	2	10	32	2
199	13	13	1	1	12	1	13
200	2	2	1	2	6	3	11
201	25	26	1	18	18	5	27
202	10	3	1	4	24	30	2
203	26	1	1	8	6	1	1
204	27	1	1	4	1	29	3
205	3	1	1	1	5	5	3
206	3	3	112	1	4	4	3
207	25	26	28	18	18	33	27
208	10	2	1	4	25	31	2
209	7	466	1	5	8	8	6
210	2	44	2	2	6	3	2
211	10	2	1	6	10	3	36
212	26	1	1	8	1	1	1
213	1	1	1	24	6	27	35
214	1	6	1	4	12	28	11
215	1	9	2	25	6	29	35
216	3	3	1	1	4	53	3
217	7	6	1	5	8	5	6
218	7	6	1	5	325	8	6
219	3	3	154	1	4	4	3
220	1	3	1	1	4	23	16
221	1	4	1	1	12	1	10
222	1	4	1	1	4	24	29
223	22	1	14	23	327	4	31
224	322	13	1	1	12	11	13
225	1	4	1	4	12	25	10
226	19	477	1	1	12	1	11
227	348	57	45	2	7	58	52
228	1	4	1	4	12	24	29
229	7	6	1	222	8	8	6
230	3	338	1	1	4	4	3
231	1	34	1	4	12	1	28
232	3	3	118	1	4	4	3
233	346	35	19	2	20	26	39
234	2	478	2	2	2	2	2
235	1	4	1	12	12	4	16
236	358	6	1	5	8	8	6
237	2	2	2	2	75	3	2
238	2	3	1	1	4	4	1
239	2	3	1	1	4	4	3
240	2	3	1	1	21	4	3
241	2	3	1	1	4	4	30
242	2	3	1	1	4	4	420
243	2	2	5	2	6	3	2
244	359	6	1	5	8	8	6
245	360	4	1	4	12	1	10
246	2	3	1	12	4	4	3
247	3	3	1	12	4	4	16
248	1	4	441	4	12	1	10
249	1	4	1	4	12	362	10
250	3	3	1	1	4	4	16
251	361	6	1	5	8	8	6
252	362	2	2	2	3	3	2
253	1	4	1	50	12	1	10
254	3	32	1	1	4	4	3
255	22	3	14	23	12	53	31
256	10	14	8	6	10	37	2
257	22	1	14	19	12	53	31
258	36	3	43	1	39	52	49
259	1	1	1	1	12	5	3
260	1	1	1	1	12	11	13
261	1	1	1	1	12	24	13
262	1	4	1	1	48	24	2
263	1	13	1	1	48	5	13
264	1	13	1	1	12	1	15
265	1	2	1	2	10	24	29
266	1	4	1	4	12	24	2
267	1	4	1	4	12	1	4
268	1	4	1	4	12	24	4
269	1	4	1	4	12	24	10
270	1	4	1	4	11	5	11
271	1	4	1	4	11	24	11
272	1	4	1	4	11	5	13
273	1	4	1	4	12	1	29
274	1	4	1	4	11	5	29
275	1	4	1	4	11	24	29
276	1	4	1	4	10	24	29
277	1	4	1	4	48	24	29
278	1	14	8	6	10	3	2
279	1	14	8	6	10	24	2
280	1	18	8	6	10	3	2
281	2	4	1	2	6	3	2
282	2	4	2	2	6	3	2
283	2	2	8	2	6	3	2
284	2	2	1	4	6	3	2
285	2	2	2	4	6	3	2
286	3	1	1	1	1	24	3
287	3	3	1	1	12	4	58
288	3	4	1	1	12	4	3
289	3	1	1	2	11	24	3
290	3	37	19	2	6	24	32
291	3	37	19	2	20	26	32
292	3	1	1	4	1	24	1
293	3	1	1	4	1	24	2
294	3	1	1	4	1	1	31
295	3	4	1	4	1	1	31
296	3	1	1	8	1	1	2
297	4	1	4	1	5	24	4
298	4	14	8	2	10	3	2
299	4	18	8	2	10	3	2
300	4	4	1	4	1	10	13
301	5	3	1	2	10	5	29
302	5	71	1	2	10	24	2
303	5	1	2	2	6	3	2
304	5	2	2	2	6	24	2
305	5	4	2	2	6	24	2
306	5	4	1	4	12	6	3
307	5	4	1	4	12	24	13
308	5	4	1	4	12	1	31
309	5	4	1	4	12	6	58
310	8	1	1	2	1	5	7
311	8	4	1	2	6	3	2
312	8	18	1	2	5	26	7
313	8	2	2	2	20	3	2
314	8	2	2	2	6	11	2
315	8	4	2	2	6	24	2
316	8	2	8	2	6	3	2
317	8	13	1	4	12	4	15
318	8	1	1	8	12	1	1
319	10	14	8	2	10	3	2
320	10	13	8	6	10	3	2
321	10	14	8	6	10	5	2
322	10	14	8	6	10	3	4
323	10	71	8	6	10	3	29
324	12	71	1	2	48	24	2
325	12	4	1	4	12	1	2
326	12	4	1	4	12	1	29
327	13	13	1	1	12	11	11
328	13	4	1	4	12	1	10
329	16	2	1	2	10	13	15
330	22	3	1	2	10	5	29
331	22	1	1	23	12	6	31
332	44	2	1	1	12	11	29
333	44	13	1	1	12	11	13
334	45	71	8	6	10	3	29
335	47	4	1	4	12	1	10
336	3	73	1	12	4	4	16
337	363	6	1	5	8	8	6
338	19	23	15	48	19	20	15
339	1	1	1	1	40	1	10
340	37	3	1	1	4	4	3
341	10	83	8	6	10	3	2
342	10	84	8	6	10	3	2
343	2	85	1	1	4	4	3
344	50	3	1	1	4	4	3
345	3	32	1	1	4	4	63
346	2	2	52	2	3	3	2
347	3	1	1	37	1	5	53
348	16	16	12	4	13	13	15
349	1	1	1	37	1	5	53
350	6	79	51	47	7	70	61
351	6	72	50	43	52	67	59
352	3	78	1	1	1	5	3
353	8	2	2	46	2	2	2
354	6	79	51	47	53	70	61
355	49	1	1	1	1	5	3
356	48	80	50	43	49	71	59
357	3	82	1	1	1	5	62
358	3	81	1	1	1	5	3
359	19	23	15	2	55	20	15
360	51	2	2	2	6	3	2
361	4	3	1	1	11	72	64
362	2	3	1	1	21	64	3
363	1	1	1	1	12	4	1
364	1	4	1	4	12	1	56
365	3	3	1	42	4	4	35
366	3	4	1	4	12	1	35
367	1	4	1	4	12	1	57
368	2	3	1	1	4	65	3
369	4	1	4	1	5	66	4
370	2	31	1	1	4	4	35
371	1	4	53	4	12	1	10
372	2	3	1	1	4	73	30
373	1	4	1	49	12	1	10
374	1	86	1	4	12	1	10
375	19	23	15	2	19	20	42
376	1	4	28	18	18	33	50
377	10	40	442	6	10	3	2
378	2	2	2	1	6	3	2
379	1	26	28	18	59	54	50
380	3	3	61	42	4	4	3
381	1	90	1	4	12	1	10
382	2	2	2	2	6	3	69
383	3	3	1	1	4	4	70
384	3	1	60	8	1	5	3
385	1	89	1	1	4	5	11
386	6	72	50	2	10	67	59
387	3	1	58	1	1	5	3
388	6	66	46	1	7	50	68
389	4	9	1	8	1	75	8
390	1	1	1	53	1	1	1
391	10	14	8	6	10	3	66
392	2	2	2	2	6	74	2
393	1	88	1	4	12	1	54
394	19	23	15	2	57	20	15
395	10	47	8	26	26	32	2
396	10	14	8	51	10	3	2
397	1	3	1	14	11	69	10
398	3	35	19	2	20	26	39
399	6	5	55	2	7	14	10
400	1	1	1	2	12	1	1
401	1	1	1	2	1	1	1
402	1	4	1	1	1	1	10
403	1	4	1	2	12	1	10
404	1	4	1	4	58	1	10
405	3	1	1	2	1	5	3
406	3	3	1	2	1	1	10
407	3	3	57	1	4	4	67
408	6	1	46	1	1	5	3
409	6	5	6	1	7	14	5
410	6	66	46	43	7	14	18
411	10	14	8	1	1	3	2
412	18	1	1	18	1	5	3
413	3	68	1	1	12	5	40
414	6	1	6	1	7	14	5
415	6	5	6	15	1	14	5
416	6	5	6	1	7	14	18
417	6	57	45	20	49	14	52
418	6	66	46	1	7	50	18
419	6	66	46	2	7	50	68
420	6	66	59	2	7	50	18
421	12	1	1	2	11	1	40
422	18	1	1	2	7	5	3
423	18	1	1	8	1	5	3
424	18	1	1	4	1	5	3
425	18	33	6	20	7	50	48
426	53	47	8	26	26	32	2
427	6	5	62	2	7	14	5
428	2	3	1	1	388	4	3
429	50	47	8	26	26	32	5
430	10	479	8	6	10	3	2
431	2	2	2	54	6	3	2
432	1	1	1	8	1	1	1
433	2	2	2	2	6	3	72
434	2	2	2	2	6	1	2
435	2	2	2	2	12	3	2
436	2	91	2	4	6	3	2
437	3	1	4	1	5	5	4
438	3	4	1	4	12	5	10
439	16	16	12	2	389	13	15
440	19	2	15	2	19	20	14
441	2	2	2	48	6	3	2
442	2	2	2	56	6	3	2
443	59	2	2	2	6	3	2
444	58	3	1	1	4	4	3
445	1	61	1	31	12	4	10
446	18	62	6	2	38	50	5
447	4	9	41	8	1	4	10
448	3	3	42	1	1	1	10
449	3	3	1	1	64	4	3
450	3	4	1	1	4	4	3
451	3	4	1	42	4	4	3
452	2	2	2	5	6	3	2
453	13	40	1	1	12	11	13
454	3	2	6	2	13	3	2
455	10	14	8	6	61	3	2
456	1	4	1	4	65	1	10
457	8	2	2	2	6	3	73
458	3	1	1	1	67	5	3
459	3	93	1	1	66	1	40
460	13	1	1	1	1	1	40
461	1	4	1	4	12	1	40
462	1	4	1	4	12	1	11
463	5	1	1	4	4	6	3
464	3	1	1	1	29	5	3
465	13	13	65	1	12	11	13
466	1	26	28	18	11	33	50
467	1	4	1	23	7	1	40
468	3	4	1	1	1	1	40
469	13	13	1	4	12	11	13
470	10	57	8	6	10	3	2
471	1	4	1	4	68	1	10
472	3	16	11	2	13	12	14
473	2	4	1	15	12	1	10
474	60	1	1	1	1	1	1
475	1	97	1	1	1	1	1
476	3	98	1	1	4	4	3
477	1	1	1	1	1	50	1
478	54	66	46	2	7	50	18
479	52	79	54	18	56	32	65
480	6	57	63	2	7	58	52
481	6	66	46	2	54	50	18
482	57	79	66	2	62	76	71
483	6	57	45	2	7	58	18
484	2	2	2	2	1	3	2
485	13	99	1	1	12	11	13
486	10	100	8	26	26	32	2
487	1	101	1	4	12	1	10
488	6	5	6	2	7	14	15
489	6	5	6	2	7	14	11
490	22	1	14	23	8	4	31
491	2	2	2	47	6	3	2
492	61	4	1	4	12	1	10
493	62	1	1	1	1	1	1
494	3	3	1	12	69	4	16
495	7	6	1	5	70	8	6
496	63	4	1	4	12	1	28
497	10	14	8	6	60	3	2
498	7	59	1	5	8	77	6
499	3	3	65	12	4	4	3
500	2	2	2	2	71	3	2
501	65	3	1	1	4	4	3
502	3	1	73	1	1	5	3
503	2	2	2	2	13	3	2
504	6	72	72	43	52	67	59
505	24	1	14	15	11	19	3
506	32	1	1	1	12	1	1
507	3	3	74	58	4	4	3
508	10	40	8	6	10	3	2
509	1	26	28	18	18	33	27
510	66	3	1	1	4	4	3
511	3	32	1	1	4	1	3
512	1	102	1	4	12	1	10
513	4	9	1	8	1	78	8
514	1	31	1	1	1	1	1
515	1	3	1	4	73	1	10
516	3	4	1	4	1	1	1
517	2	4	1	1	12	4	3
518	1	4	75	4	12	1	10
519	2	9	1	1	4	4	3
520	55	79	54	18	56	32	65
521	6	94	67	2	7	14	52
522	18	95	45	2	7	15	5
523	1	94	68	1	1	1	1
524	7	6	1	5	71	5	6
525	64	3	1	12	4	4	16
526	1	4	1	4	12	81	10
527	2	3	1	1	4	19	13
528	3	3	1	1	4	4	13
529	70	4	1	4	79	1	10
530	1	3	1	2	11	5	11
531	67	103	6	59	13	15	18
532	3	3	1	1	13	4	2
533	3	2	1	2	6	3	2
534	10	14	8	6	10	3	79
535	2	2	1	2	6	3	2
536	10	104	8	6	10	3	2
537	19	23	1	2	19	20	15
538	3	1	15	1	1	5	3
539	2	2	2	2	6	3	75
540	3	27	2	1	1	1	10
541	3	35	19	60	20	26	39
542	2	2	2	2	6	3	77
543	2	2	76	2	6	3	2
544	1	4	1	8	4	4	76
545	19	23	15	20	19	20	15
546	10	14	1	6	10	3	2
547	1	4	77	4	12	1	10
548	3	3	1	1	74	4	3
549	1	3	8	4	12	1	10
550	1	4	1	9	1	1	1
551	13	105	1	1	12	11	13
552	3	106	1	1	4	4	3
553	1	4	1	4	12	2	10
554	1	2	1	4	12	1	10
555	10	107	8	26	26	32	2
556	2	4	2	2	75	3	2
557	2	2	2	2	77	3	2
558	2	2	2	2	78	3	2
559	68	23	79	2	19	20	15
560	2	2	80	2	6	3	2
561	69	1	14	15	76	19	3
562	10	108	8	6	10	3	2
563	3	3	8	1	4	4	3
564	4	1	78	1	5	5	4
565	10	14	8	6	10	3	78
566	4	3	4	57	5	5	9
567	10	1	1	1	1	1	1
568	12	1	40	15	11	1	40
569	3	109	1	1	4	4	3
570	1	110	1	4	12	1	10
571	7	3	1	1	4	4	10
572	3	3	65	12	4	4	16
573	1	1	1	1	12	1	1
574	72	57	81	2	7	58	52
575	63	4	1	4	12	1	10
576	3	3	1	1	4	19	3
577	73	5	6	2	7	14	2
578	1	3	1	14	83	27	10
579	2	2	2	2	3	83	2
580	3	35	48	19	20	26	39
581	6	57	45	18	10	14	52
582	13	13	1	1	12	10	13
583	3	3	1	14	11	27	10
584	3	3	1	1	1	1	40
585	2	1	1	1	4	4	3
586	3	3	1	1	84	4	3
587	75	4	1	4	12	1	10
588	10	14	85	6	10	3	82
589	6	23	15	2	7	17	2
590	3	14	8	6	1	5	3
591	8	2	2	2	6	3	19
592	2	3	86	1	4	4	3
593	19	23	79	1	19	20	15
594	19	3	1	1	4	4	3
595	76	14	8	6	10	3	2
596	2	2	2	2	6	87	2
597	1	4	83	4	12	1	10
598	2	113	2	2	6	3	2
599	6	115	6	2	7	32	5
600	3	116	1	61	4	4	3
601	3	37	48	19	49	26	39
602	1	3	84	14	11	51	10
603	2	112	2	2	6	84	2
604	1	3	1	62	11	5	11
605	2	2	10	2	6	3	2
606	7	6	35	5	8	8	6
607	2	2	89	2	6	3	2
608	10	14	8	6	85	3	2
609	3	3	1	58	4	4	3
610	1	1	1	1	4	1	1
611	18	118	6	2	13	15	18
612	3	3	1	1	4	88	83
613	3	3	90	1	4	4	3
614	2	3	91	1	4	4	3
615	1	4	1	8	4	4	1
616	7	6	1	5	13	8	3
617	3	14	8	6	10	3	2
618	22	117	14	23	12	53	31
619	3	114	1	1	4	85	3
620	13	13	1	63	12	11	13
621	74	35	19	2	20	26	39
622	10	6	1	5	8	8	6
623	10	3	1	1	4	4	3
624	2	3	1	12	4	4	16
625	6	14	8	6	3	3	2
626	6	3	1	12	4	4	16
627	1	4	1	4	1	1	10
628	1	4	1	4	2	1	10
629	79	1	14	23	4	4	31
630	12	3	1	1	4	4	3
631	6	3	1	1	4	4	3
632	1	4	1	4	86	1	10
633	1	4	1	4	87	1	3
634	78	4	1	4	12	1	10
635	1	6	1	14	11	51	10
636	7	4	1	5	8	5	6
637	2	4	1	1	4	4	30
638	80	13	1	1	12	11	13
639	2	3	1	1	4	4	74
640	10	14	8	6	10	86	2
641	1	31	1	4	12	1	10
642	2	3	2	2	6	3	2
643	19	122	12	2	13	89	13
644	2	3	1	65	4	4	3
645	80	123	1	1	12	11	13
646	3	3	92	1	4	4	3
647	2	2	2	2	88	3	2
648	2	2	2	3	6	3	84
649	6	5	6	2	7	14	85
650	81	4	1	4	12	1	10
651	6	120	6	2	7	14	5
652	6	121	6	2	7	14	5
653	3	6	1	1	4	4	2
654	1	119	1	4	12	1	10
655	2	6	6	2	6	3	2
656	10	486	8	6	10	3	2
657	3	6	6	19	13	3	6
658	3	6	6	19	13	3	11
659	3	4	6	1	7	12	3
660	1	32	1	1	4	4	3
661	10	111	66	66	82	82	81
662	3	3	1	1	11	4	10
663	3	1	1	8	1	91	1
664	3	3	1	1	87	4	3
665	27	4	1	1	4	6	11
666	27	3	1	1	13	6	11
667	2	2	2	2	6	92	2
668	82	38	1	1	1	1	40
669	3	1	94	1	29	5	3
670	3	3	1	1	4	93	3
671	3	124	1	1	1	1	86
672	4	3	1	1	11	72	11
673	1	3	1	1	4	4	11
674	3	3	1	1	4	4	87
675	1	36	1	4	12	1	10
676	1	4	1	4	12	1	80
677	2	2	2	2	80	3	2
678	1	36	1	4	81	1	10
679	71	36	1	4	12	1	10
680	6	125	96	27	13	13	88
681	6	5	6	67	7	14	5
682	10	14	8	125	10	3	2
683	3	3	1	1	12	4	3
684	2	3	98	1	21	4	3
685	3	3	1	1	4	28	3
686	7	6	1	5	390	8	6
687	6	2	6	2	7	13	2
688	6	2	6	2	7	14	2
689	6	2	6	2	7	13	5
690	6	2	6	2	7	14	5
691	85	13	1	1	12	11	13
692	12	89	1	1	4	5	90
693	3	126	1	37	1	5	3
694	3	68	1	4	1	5	89
695	6	66	46	69	91	50	18
696	6	66	46	19	7	50	18
697	3	78	1	1	1	5	91
698	16	127	12	2	13	13	15
699	1	89	1	15	1	4	3
700	6	57	45	2	7	95	52
701	6	129	46	2	7	50	18
702	3	128	45	2	7	15	5
703	18	128	45	2	7	15	5
704	2	2	2	48	2	3	2
705	6	72	50	43	49	67	59
706	86	3	1	1	1	1	10
707	18	71	6	2	7	58	2
708	1	4	99	4	12	1	10
709	3	1	1	1	92	5	92
710	1	4	1	4	12	96	10
711	6	66	46	2	7	97	18
712	6	66	46	2	93	50	18
713	2	2	2	1	3	3	2
714	1	2	2	2	6	3	2
715	8	2	2	2	88	3	2
716	3	3	1	1	4	3	3
717	1	3	1	1	11	5	11
718	19	122	12	2	13	89	15
719	3	3	1	1	4	4	1
720	6	5	6	2	7	17	22
721	2	1	1	8	1	1	2
722	2	2	2	2	6	3	1
723	1	1	74	1	94	99	1
724	2	3	1	1	4	47	3
725	6	5	6	2	7	11	5
726	1	1	1	1	1	101	1
727	1	37	48	19	96	26	39
728	1	3	1	14	11	27	10
729	3	3	1	1	98	4	3
730	1	4	1	4	97	1	10
731	2	2	2	2	6	4	2
732	3	23	1	1	19	1	40
733	19	124	1	1	1	20	40
734	2	3	1	1	4	4	95
735	87	14	8	6	10	3	2
736	1	4	100	4	12	24	29
737	7	6	1	70	8	8	6
738	3	3	1	71	4	4	3
739	3	1	14	15	11	19	93
740	8	2	2	2	6	98	94
741	88	68	1	4	1	5	40
742	3	131	1	1	1	5	3
743	1	130	1	1	1	1	1
744	1	4	1	72	12	1	10
745	6	66	46	2	99	50	18
746	3	1	1	1	1	5	92
747	3	1	1	1	1	5	96
748	1	132	1	1	1	1	1
749	19	133	15	2	19	20	15
750	89	66	46	2	7	50	18
751	1	1	1	73	1	1	1
752	3	35	101	2	20	26	39
753	90	35	19	2	20	26	39
754	19	23	102	2	19	20	42
755	10	134	8	6	10	3	2
756	2	2	103	2	6	3	2
757	2	3	1	1	4	363	3
758	3	123	1	8	1	1	1
759	3	135	1	12	4	4	16
760	10	1	1	1	1	102	1
761	1	1	104	1	1	103	1
762	1	1	104	1	1	1	1
763	91	4	1	4	12	1	10
764	1	136	1	4	12	1	10
765	2	2	2	2	6	104	2
766	7	6	1	5	72	8	6
767	3	27	19	2	20	26	32
768	3	3	1	1	4	4	97
769	1	1	1	1	1	105	1
770	1	3	1	1	4	4	3
771	6	137	46	2	7	50	18
772	1	1	1	1	22	1	1
773	16	16	12	1	13	13	15
774	4	1	1	39	1	1	1
775	4	9	105	8	1	10	8
776	92	2	2	2	2	2	2
777	19	23	15	2	19	20	98
778	93	3	1	1	4	5	3
779	3	138	1	15	100	1	10
780	2	2	106	2	6	3	2
781	4	1	107	1	5	5	4
782	2	3	1	1	4	10	3
783	10	4	1	4	12	24	29
784	94	3	1	1	4	88	83
785	1	3	1	74	11	5	11
786	19	23	15	2	19	20	99
787	47	4	1	4	12	1	100
788	95	4	1	4	12	1	10
789	3	4	1	4	4	6	3
790	1	4	1	4	12	1	101
791	10	14	8	6	10	3	32
792	10	14	8	6	10	3	3
793	3	1	1	8	1	1	13
794	10	2	8	6	10	3	2
795	13	13	1	1	12	11	3
796	13	13	1	75	12	11	13
797	3	3	1	12	4	4	6
798	1	3	1	76	11	5	13
799	4	9	1	8	1	10	2
800	6	5	6	2	7	14	10
801	1	4	1	4	12	1	5
802	13	13	1	1	12	11	2
803	10	14	8	6	10	3	39
804	3	35	19	2	20	26	2
805	3	3	1	1	1	1	1
806	2	2	2	2	102	3	2
807	8	2	2	2	6	3	7
808	2	14	2	2	6	3	2
809	18	18	6	2	13	14	2
810	10	35	19	2	46	26	39
811	2	2	2	48	6	3	10
812	3	1	14	15	11	19	2
813	3	37	19	2	20	26	2
814	12	89	108	1	4	5	90
815	3	1	109	1	1	5	3
816	18	140	45	2	7	14	7
817	97	2	2	2	2	2	2
818	13	141	1	1	12	11	13
819	2	2	2	77	6	3	2
820	10	142	8	6	10	3	2
821	2	2	2	2	2	2	416
822	1	143	1	14	11	51	10
823	1	4	110	4	12	1	10
824	98	3	1	12	4	4	16
825	99	1	14	23	12	4	31
826	1	4	1	4	103	1	54
827	2	2	2	2	6	5	2
828	3	3	1	1	4	4	83
829	1	1	29	9	1	1	1
830	3	3	1	1	4	107	3
831	3	144	1	12	4	4	16
832	13	13	111	1	12	11	13
833	100	1	1	8	12	1	1
834	3	124	1	1	1	1	40
835	1	4	1	4	12	108	10
836	3	3	1	1	4	100	3
837	6	5	6	2	7	14	3
838	1	4	1	4	12	106	10
839	7	6	112	5	8	8	6
840	1	145	1	4	12	1	10
841	1	1	25	1	1	1	1
842	3	1	1	1	1	5	38
843	3	1	31	1	29	5	3
844	3	51	1	1	4	4	3
845	13	13	1	1	12	34	13
846	7	6	28	27	11	40	43
847	2	46	24	2	2	2	2
848	10	1	1	1	12	1	1
849	5	4	1	4	101	6	3
850	36	3	43	79	39	52	49
851	1	91	1	1	22	1	1
852	1	1	68	1	1	1	1
853	101	3	1	80	4	4	3
854	7	139	1	5	8	8	6
855	96	2	2	2	2	2	2
856	56	6	1	5	8	8	6
857	1	26	28	18	18	111	50
858	3	3	1	1	13	4	3
859	79	1	14	23	12	4	31
860	1	3	1	4	12	41	10
861	1	3	1	8	4	4	3
862	1	3	1	4	12	1	28
863	1	3	1	4	12	1	10
864	12	4	1	82	12	1	3
865	103	3	1	1	4	4	3
866	1	31	1	4	12	102	10
867	104	6	1	5	8	8	6
868	1	4	1	4	12	3	10
869	13	13	1	1	1	112	13
870	105	3	1	1	4	4	3
871	13	13	1	1	1	1	13
